English,Indonesia
"When the government introduced the capital measures in December , investors panicked , causing the biggest one-day drop in the Thai stock market with losses worth a staggering 23 billion dollars .","Baht Thailand , yang Kamis 8 / 3 mencapai tertinggi dalam sembilan tahun sebesar 35,10 terhadap dolar dengan harapan diakhirinya keputusan itu , jatuh menjadi 35,30-36 menyusul pidato"
"The central bank chief , Tarisa Watanagase , said in a newspaper interview Thursday that she was waiting for the right time to completely lift the currency controls .","Kepala bank sentral , Tarisa Watanagase , mengatakan dalam wawancara di surat kabar bahwa ia sedang menunggu waktu yang tepat untuk sepenuhnya mencabut kontrol mata uang itu ."
"Bank Indonsia BI Deputy Governor Aslim Tadjuddin said here on Friday the exchange rate of the country's currency , the rupiah , would tend to strengthen in the days ahead because the country's macro-economic fundamentals were stable .",Deputi Gubernur Bank Indonesia BI Aslim Tadjuddin mengatakan nilai tukar rupiah akan cenderung menguat karena segi makro fundamental Indonesia berada pada kondisi stabil .
"The rupiah will tend to strengthen in the future and BI will continue to maintain the rate at between Rp8,000 and Rp9,400 against the US dollar , he said .","Rupiah ke depannya akan cenderung menguat , dan BI akan tetap mempertahankan pada kisaran sekarang ini yaitu Rp9.000 sampai Rp9.400 , kata Aslim Tadjuddin di Jakarta , Jumat ."
"He said BI would maintain the present rate so that it would not fluctuate too widely because the rate was already good enough to be acceptable to the business community , especially exporters and importers .","Menurut dia , BI akan menjaga jangan sampai terjadi fluktuasi terlalu lebar , karena level kurs saat ini sudah cukup dapat diterima oleh dunia usaha terutama bidang ekspor / impor ."
"The recent drop in the exchange rate of the Thai baht would not affect the rupiah because the depreciation is still within expected limits , he said .","Walaupun kemarin nilai tukar mata uang Thailand sempat menurun , hal tersebut tidak akan mempengaruhi rupiah karena kelemahan itu masih dalam kisaran yang kita harapkan , kata dia ."
"Regarding the inflation rate , Aslim said it would still be the same as in February .","Sehubungan dengan tingkat inflasi , Aslim memperkirakan masih akan sama seperti inflasi pada bulan Februari ."
"I think it will be the same as or at least not be below the figure in February because there was a recent hike in the rice price , he said .","Saya pikir akan sama atau paling tidak berada di bawah bulan Februari , karena kita lihat kemarin ada kenaikan harga beras , katanya ."
He said the government had already taken all measures to limit the hike such as through rice imports and market operations so that the hike in the rice price this month would not affect inflation .,"Ia mengatakan , pemerintah sudah melakukan segala cara untuk menekan kenaikan harga tersebut seperti impor atau operasi pasar , sehingga kenaikan harga itu pada bulan ini tidak akan mempengaruhi inflasi ."
"Hopefully , in March inflation will be lower and the target of six plus and minus one percent inflation will be met , he said .","Semoga saja bulan Maret ini lebih rendah dan target enam plus minus satu bisa tercapai , ujarnya ."
He said the global crisis had already diminished and some stocks had returned to their normal position .,"Saat ini , lanjut Aslim , gejolak di sisi global sudah berkurang , bahkan beberapa stok harga sudah mulai normal kembali ."
"There was indeed a reserve carry trade in Japanese yen but it is already over now , he said .","Kemarin memang ada ' reserve carrytrade ' Yen Jepang , tetapi sekarang ini sudah berakhir , ucap dia ."
Regarding limitation of accumulation of banking funds in Bank Indonesia Certificates SBI Taslim said that it was not an important issue .,"Ketika ditanya mengenai pembatasan dana perbankan pada Sertifikat Bank Indonesia SBI , ia mengatakan hal tersebut tidak terlalu penting untuk dibahas ."
"What is important is how to make the real sector move because if the sector moves banks would supply it with credits and automatically funds in the SBI will drop , he said .","Yang penting adalah bagaimana sektor riil dapat bergerak , karena ketika sektor riil bergerak dunia perbankan akan memberi kredit kepada sektor riil , dengan demikian secara otomatis dana di SBI akan berkurang , ucap dia ."
"On the target of growth , he said bank credits were needed to meet it .","Mengenai target pertumbuhan ekonomi , Aslim mengatakan hal tersebut amat membutuhkan kredit dunia perbankan ."
"What is important now is creating a conducive investment atmosphere and eradicate obstacles that hinder real sector development not limiting funds in SBI , he said .","Yang perlu diciptakan sekarang ini adalah bagaiamana iklim investasi kondusif dan menghilangkan hambatan-hambatan bagi kemajuan sektor riil , bukan pada masalah pembatasan SBI , tambah dia ."
"The government is estimating that Indonesia's economic growth in 2008 will continue to be around 6.6 percent as many quarters have projected , Finance Minister Sri Mulyani Indrawati said .","Pemerintah memperkirakan tingkat pertumbuhan ekonomi pada 2008 masih berada pada kisaran 6,6 persen seperti yang diperkirakan atau direkomendasikan sejumlah kalangan ."
This is still an initial exercise .,Ini masih excercise awal .
"We hope we can see the range of economic growth in 2008 after we see the realization of economic growth in 2007 which is projected at 6.3 percent , the minister said after attending a meeting at the presidential office here on Tuesday .","Kisarannya nanti kita lihat realisasi pertumbuhan ekonomi pada 2007 yang ditetapkan sebesar 6,3 persen , kata Menteri Keuangan Sri Mulyani Indrawati , usai mengikuti Rapat Paripurna Kabinet Indonesia Bersatu , di Kantor Kepresidenan , Jakarta , Senin ."
The minister said many circles doubted the government's target could be achieved but in her view it was better to see first how economic growth developed in the first semester of 2007 .,"Menurut Sri Mulyani mengakui , banyak pihak yang meragukan pencapaian angka tersebut , namun pemerintah akan melihat dulu perkembangan dalam satu semester tahun 2007 ."
We want a higher economic growth but we need to be realistic as well .,"Meski demikian kita menginginkan satu pertumbuhan yang lebih tinggi , tentu kita akan lebih realistis ."
"Therefore , we will set our temporary target at 6.6 percent for 2008 , she said .","Jadi kita akan lihat dari angka kisaran 6,6 persen dulu untuk 2008 , ujar Sri Mulyani ."
"She said the government had set its 2007 economic growth target at 6.3 in but many circles such as eonomic observers , the World Bank , Asian Development Bank , International Monetary Fund , Citibank and Deusthe Bank had set it at a range of 5.5 to 6.5 percent .","Ia menjelaskan , kalau pemerintah tetap menetapkan di APBN sebesar 6,3 persen , tetapi kalau dilihat hampir semua pengamat ekonomi , lembaga investasi , Bank Indonesia , Bank Dunia , Asian Development Bank , IMF , Citibank , Deusthe Bank umumnya menetapkan pertumbuhan antara 5,5 hingga 6,5 persen ."
"My estimate is that economic growth in 2007 will be between 5.9 percent and 6 percent , she said .","Saya kira pertumbuhan ekonomi pada 2007 jatuhnya pada kisaran 5,9 persen sampai dengan 6 persen , ujarnya ."
"National Development Planning Minister Paskah Suzetta said on Tuesday the deficit in the 2007 state budget would increase if the government had to provide bailout funds to solve the social problems of people who fall victim to the Lapindo mudflow disaster in Sidoarjo , East Java .","Menteri Perencanaan Pembangunan Nasional / Kepala Bappenas Paskah Suzetta , mengingatkan , defisit APBN 2007 akan bertambah jika pemerintah menganggarkan dana talangan terkait persoalan sosial semburan lumpur Lapindo ."
"But if the DPR House of Representatives eventually agrees to ask the government to allocate state budget funds for the Lapindo case , we will do it , he said after a cabinet session at the presidential office here .","Kalau DPR akhirnya sepakat meminta pemerintah mengalokasikan anggaran di APBN untuk kasus Lapindo , ya kita lakukan , kata Paskah , usai Sidang Kabinet membahas Rencana Kerja Pemerintah , di Kantor Kepresidenan di Jakarta , Selasa ."
"Paskah , who is also chief of the National Development Planning Agency Bappenas , said the government was still discussing the material losses caused by the Lapindo mudflow disaster with the House .","Menurut Paskah , soal penanganan dampak kerugian Lumpur Lapindo masih dibicarakan di DPR ."
"If the bailout was agreed upon by the House and the government , it would be included in the revised state budget , he said .",Kalaupun disepakati itu akan masuk dalam APBN Perubahan .
Let's wait for the results of the discussion .,Nanti kita dengar semua hasilnya .
"Where budget allocation , be it bailout or else , is concerned , it must first be discussed through the mechanism for state budget revisions , he said .","Karena kalau menyangkut alokasi anggaran , entah itu talangan atau apapun namanya , harus dibicarakan terlebih dahulu dalam mekanisme APBN-P , katanya ."
He said there was no budget allocation for the purpose in the 2007 state budget .,"Ia menuturkan , dalam APBN 2007 tidak ada dana tersebut ."
"We will try to ensure that the deficit in the 2007 state budget will be less than 2 percent of gross domestic product , he said .","Ya , pokoknya begini , di tahun 2007 ini kita upayakan defisit APBN tetap di bawah 2 persen , tidak akan melampaui itu , ujarnya ."
"The Surabaya Stock Exchange BES will delist PT Makindo's stock beginning next April 2 and remove all of Makindo's corporate files from all of BES information media , a spokesperson said .","Bursa Efek Surabaya BES akan melakukan penghapusan pencatatan delisting atas saham PT Makindo Tbk MKDO terhitung sejak 2 April 2007 , sehingga BES akan menghapus seluruh data perusahaan tersebut pada semua media informasi yang disediakan oleh BES , kata Kadiv ."
"If PT Makindo wants to relist its stock at the BES bourse in the future , the Surabaya Stock Exchange would treat it as a new listing , BES Listing division head Umi Kalsum said here Wednesday .","Menurutnya dalam hal PT Makindo Tbk akan melakukan pencatatan kembali relisting pada BES , maka diperlakukan sebagai pencatatan baru , termasuk penyelesian administrasinya , pencatatan BES Umi Kulsum di Jakarta , Rabu ."
"Accordingly , BES would be free from every obligation , demand and lawsuit other parties may file against PT Makindo following the delisting , she said .","Dengan tidak tercatatnya saham PT Makindo Tbk pada BES , maka BES tidak bertanggung jawab atas segala kewajiban , tuntutan dan gugatan pihak lain sehubungan dengan pembatalan pencatatan tersebut dari daftar efek BES , jelasnya ."
"The directorate general of taxes will make a list of state officials in the 4th to the 1st echelons who have complied or not complied with existing tax regulations , a spokesman said here Wednesday .",Dirjen Pajak Darmin Nasution mengatakan pihaknya akan membuat daftar para pejabat negara dari eselon empat sampai eselon satu untuk dilihat kepatuhannya dalam membayar pajak .
Every civil servant must abide by tax regulations .,Tiap PNS wajib mematuhi perundangan perpajakan .
"We will make a list to find out whether or not state officials already have a taxpayer's number NPWP , Director General for Taxes Darmin Nasution said after accompanying President Susilo Bambang Yudhoyono in filling out income tax forms at the Central Tax Office .","Kita akan membuat daftar nama pejabat eselon empat sampai eselon satu utuk dilihat apakah sudah memiliki NPWP atau sudah mengisi SPT Pajak , katanya usai mendampingi Presiden Susilo Bambang Yudhoyono ketika mengisi Surat Pemeberitahuan SPT Pajak Penghasilan PPh di Kantor Pusat Pajak Jakarta , Rabu ."
Darmin said tax evadera will face penalties .,Darmin menjelaskan jika ada pejabat negara yang tidak memenuhi kewajiban pajaknya akan dilaporkan kepada atasannya untuk diberikan tindakan .
"We will inform the minister concerned if his or her subordinates evade taxes and the president if a minister evades taxes , he said .","Kalau pegawai Departemen yang tidak taat kita akan lapor ke menterinya , tapi kalau menterinya yang tidak taat kita akan lapor ke Presiden , katanya ."
"Concerned people and agencies have the chance until May 31 to inform the directorate general on any state official who evades tax , Darmin said .","Menurut Darmin , pihaknya akan memberi waktu dua bulan dari batas akhir 31 Maret ini untuk melaporkan ketidakpatuhan para pejabat negara tersebut ke atasannya ."
"The decision to give more chances for state officials to pay tax was made in order to increase state income from the taxation sector , he said .","Dikatakannya upaya ini sejalan dengan program ekstensifikasi perpajakan yang berdasarkan pada basis koperti dan basis profesional , sehingga diharapkan bisa menigkatkan panerimaan negara dari sektor pajak ."
"Cellular telephone operator PT Mobile-8 FREN will form a merger with its subsidiaries PT Metro Selular Nusantara Metrosel , PT Komunikasi Selular Indonesia Komselindo and PT Telekomindo Selular Raya Telesera , a report said .","Perusahaan operator telepon selular berbasis CDMA , PT Mobile-8 Telecom Tbk FREN akan melakukan merger dengan anak perusahaan yang dimiliki perseroan sepenuhnya , yaitu PT Metro Selular Nusantara Metrosel , PT Komunikasi Selular Indonesia Komselindo dan PT Telekomindo Selular Raya Telesera ."
"Publicly listed company PT Mobile-8 Telecom will turn into a surviving entity in the merger along with Metrosel , Komselindo and Telesera , FREN said here Wednesday .","Dalam sebuah pernyataannya yang dipublikasikan di Jakarta , Rabu , perseroan mengatakan bahwa PT Mobile-8 Telecom Tbk akan menjadi perusahaan yang dipertahankan surviving entity dalam penggabungan perusahaan-perusahaan tersebut ."
The merger will hopefully build a synergy between FREN and the three CDMA-based cellular telecommunications operators to increase their operational coverage .,"Merger tersebut , katanya , bertujuan untuk membangun sinergi antara perseroan dengan anak-anak perusahaan , yang seluruhnya juga merupakan perusahaan operator selular berbasis CDMA ."
"Meanwhile , a FREN shareholders extraordinary meeting will decide on the proposed merger on May 8 , 2007 .",Rencana penggabungan usaha tersebut akan dimintakan persetujuannya kepada para pemegang saham dalam Rapat Umum Pemegang Saham Luar Biasa RUPSLB yang dijadwalkan akan dilaksanakan pada 8 Mei 2007 .
FREN's share price dropped from Rp265 to Rp260 at the Jakarta Stock Exchange on Tuesday .,Saham FREN turun dari Rp265 menjadi Rp260 pada perdagangan di Bursa Efek Jakarta BEJ kemarin .
"Publicly listed charter airline company PT Indonesia Air Transport IATA will have another new long-term contract by operating an ATR42-300 aircraft , an official said , the new contract US $ 1.95 million will come into effect in May 2007 , IATA corporate secretary Krisman Tarigan told the Jakarta Stock Exchange here Wednesday .","Perusahaan penerbangan carter dan jasa helikopter PT Indonesia Air Transport Tbk IATA diperkirakan akan mendapatkan tambahan kontrak jangka panjang baru dengan nilai 1,95 juta dolar AS per tahun mulai Mei 2007 dengan menggunakan satu unit pesawat terbang tipe ATR42-300 ."
"IATA has secured a second contract from PT Milonlha Nuansa Ayu which has ordered for five charter planes with a total investment of $ 15 million , he said .","Permintaan pesawat secara keseluruhan dari pihak PT Milonlha Nuansa Ayu adalah sebanyak lima unit dengan asumsi nilai investasi 15 juta dolar AS , katanya ."
"However , he did not name the period of the second contract from Milonlha Nuansa Ayu firm .",Namun Krisman tidak menyebutkan berapa lama jangka waktu kontrak tersebut berlangsung .
Publicly-listed cement maker PT Indocement Tunggal Perkasa Tbk announced on Thursday its net profit in 2006 fell by 19.86 percent to Rp592.80 billion from a year earlier .,"Perusahaan industri semen PT Indocement Tunggal Prakarsa Tbk INTP di Jakarta , Kamis , menyatakan bahwa perolehan laba bersih konsolidasinya untuk tahun yang berakhir Desember 2006 turun 19,86 persen menjadi Rp592,80 miliar , dibanding Rp739,69 miliar pada periode sama tahun sebelumnya ."
"The drop was mainly caused by a rise in its operating costs and miscellaneous expenses as net income rose to Rp6.325 trillion in 2006 from Rp5.592 trillion the year before , according to the company's consolidated financial statement .","Laporan keuangan konsolidasi tahunan perseroan , menunjukkan penurunan laba bersih tersebut , terutama akibat meningkatnya beban operasional dan beban lain-lain bersih perseroan , karena pendapatan bersihnya sendiri masih meningkat dari Rp5,592 triliun pada 2005 menjadi Rp6,325 triliun pada 2006 ."
"Gross profit went up to Rp2.148 trillion from Rp2.020 trillion , However , operational expenses rose to Rp1.080 trillion from Rp805.94 trillion , causing perational profit to fall to Rp1.068 trillion from Rp1.214 trillion","Dalam periode tersebut laba kotor perseroan juga meningkat dari Rp2,020 triliun menjadi Rp2,148 triliun , namun beban usahanya bertambah dari Rp805,94 miliar menjadi Rp1,080 triliun sehingga laba usahanya berkurang dari Rp1,214 triliun menjadi Rp1,068 triliun ."
"On the other hand , net miscellaneous expenses jumped to Rp215.16 billion from Rp154.19 billion due to a surge in interest expenses , causing net profit to fall , As a result , earning per share fell to Rp161.03 from Rp200.93 .","Ditambah lagi , perseroan harus menanggung beban lain-lain bersih yang meningkat dari semula Rp154,19 miliar menjadi Rp215,16 miliar , terutama akibat membengkaknya beban bunga perseroan sehingga laba bersih perseroan menyusut dan laba bersih per saham turun dari Rp200,93 menjadi Rp161,03 ."
"Indonesian insurance company AAJI is collaborating with two international agencies , namely LOMA and LIMRA , to set up a professional insurance agency , a spokesperson said .",Asosiasi Asuransi Jiwa Indonesia AAJI dan LOMA-LIMRA berkolaborasi untuk membentuk agen asuransi profesional .
"We want to have competent life insurance agents who have international disciplines , AAJI chairwoman Evelina Pietruschka said here Thursday .","Kami ingin mencetak agen-agen asuransi jiwa nasional yang berkompeten dan memiliki standar internasional , kata Ketua Umum AAJI , Evelina Pietruschka di Jakarta , Kamis ."
"LIMRA International is a member-owned organization , dedicated to meeting the marketing information needs of companies involved in marketing annuity , disability , health , life , mutual fund , and retirement savings products .","Menurutnya , LOMA dan LIMRA merupakan dua lembaga internasional yang fokus pada kegiatan pendidikan , pelatihan , penelitian dan layanan konsultasi industri asuransi ."
"Meanwhile , AAJI executive director Eddy K A Berutu said the number of national life insurance agents was recorded at about 125,000 as of December 2006 .","Sementara itu Direktur Eksekutif AAJI , Eddy K.A Berutu , menambahkan , sampai akhir 2006 jumlah agen asuransi jiwa nasional mencapai 125 ribu agen ."
"Of the total , 5,220 were AAJI's bancassurance agents who have been certified .","AAJI juga mencatat 5.220 petugas bancassurance yang telah lulus ujian sertifikasi , ujarnya ."
Eddy said the certification program for bancassurance agents began in February last year .,"Program sertifikasi bagi petugas bancassurance baru dimulai pada Februari 2006 , tambahnya ."
"Quoting data , Eddy said , life insurance premium income grew by 25 percent to Rp18.9 trillion as of the 3rd quarter of last year from a year earlier .","Hingga triwulan III 2006 total pendapatan premi asuransi jiwa mencapai Rp18,9 triliun atau naik 24 persen dibandingkan periode sama sebelumnya ."
Data on life insurance business in 2006 show 42 companies were engaged in the life insurance sector in the country .,"Informasi ini dihimpun dari data bisnis asuransi jiwa kuartal III 2006 yang diikuti 42 perusahaan asuransi jiwa , kata Eddy ."
"The rupiah's exchange rate against the US dollar on the Jakarta Inter-bank Spot Market improved to 9,100 / 9,105 on Thursday afternoon from 9,130 / 9,135 per dollar the day before , a gain by 30 points , an observer said .","Nilai tukar rupiah terhadap dolar AS di Pasar Spot Antar Bank Jakarta , Kamis sore naik mencapai Rp9.100 per dolar AS menjadi Rp9.100 / 9.105 dibanding penutupan hari sebelumnya Rp9.130 / 9.135 per dolar AS atau naik 30 poin ."
"Money market observer Farial Anwar said here Thursday the rupiah should have passed the psychological level of 9,100 per US dollar but the Indonesian unit had failed to do so as Bank Indonesia the central bank was reluctant to make the rupiah stay lower than 9,100 against the US currency .","Pengamat Pasar Uang , Farial Anwar di Jakarta , Kamis , mengatakan , rupiah seharus sudah bisa meliwati angka batas psikologis Rp9.100 per dolar AS namun sampai saat ini masih belum bisa meliwatinya ."
"He said the rupiah had strengthened due to different positive factors , both internal and external .","Hal ini disebabkan Bank Indonesia BI tidak berkenan rupiah dibawah level Rp9.100 per dolar AS , katanya ."
"Internally , there was high demand for domestic bonds and the Indonesian Retail Obligation ORI while externally , the US dollar weakened against a number of major Asian currencies due to foreign agents' worries about the US economy , he said .","Dari internal , penjualan Surat Utang Negeri , Obligasi Ritel Indonesia ORI banyak diminati masyarakat , sedangkan eksternal dolar AS merosot terhadap sejumlah mata uang utama Asia lainnya akibat kekhawatiran pelaku asing terhadap ekonomi AS , katanya ."
"Farial said the rupiah could not stay under the level of 9,000 per US dollar during 2007 because exporters did not want the Indonesian currency to be in that position .","Farial Anwar mengatakan , rupiah selama tahun 2007 belum bisa berada di bawah level Rp9.000 per dolar AS , karena eksportir tidak menginginkan posisinya berada di level tersebut ."
"If the rupiah stood in that position , it would not support exports , he said .","Kalau rupiah bisa di posisi itu , maka produk ekspor eksportir kurang menguntungkan , katanya ."
"If the rupiah stood below 9,000 against the US dollar , the money to buy crude oil from foreign markets would decrease and the State Budget would not be valued at hundreds of trillions , he said .","Sebenarnya , menurut dia , apabila rupiah berada di bawah level Rp9.000 , dana untuk membeli minyak mentah dari luar negeri berkurang , dan Anggaran Pendapatan Belanja Negara APBN juga tidak bernilai ratusan trilliun ."
"We prefer the rupiah to stay below 9,000 per US dollar to reduce funds to buy crude oil , he said , adding that the rupiah was expected to stay at between 9,000 and 9,150 per US dollar .","Menurut dia , rupiah diperkirakan bisa berkisar antara Rp9.000 hingga Rp9.150 per dolar AS karena masih kuatnya kekhawatiran atas perlambatan ekonomi AS , menyusul bank sentral AS The Fed menyatakan masih khawatir dengan inflasi yang cenderung meningkat ."
"Such a position was probable due to increasing worries about US economic growth after the US central bank the Fed said it was worried about the US inflation rate which was tending to increase , he said .","Kami cenderung rupiah lebih baik berada di bawah level Rp9.000 per dolar AS , sehingga mengurangi dana untuk membeli minyak mentah tersebut , katanya ."
The US currency weakened against the euro after the Fed decided to maintain its overnight interest rate at 5.25 percent to 1.3412 compared to 1.3395 earlier or weakening by 0.15 percent while the US unit went up to 117.40 from 117.15 .,"Dolar AS terhadap euro melemah , setelah bank sentral AS memutuskan tetap mempertahankan suku bunga overnight 5,25 persen menjadi 1,3412 dari sebelumnya 1,3395 atau melemah 0,15 persen , sedangkan dolar AS terhadap yen naik menjadi 117,40 dari 117,15 ."
"Integrated wood processing industry company PT Barito Pacific Timber BRPT just booked a net profit of Rp7.19 billion as of December 2006 or dived by 98.95 percent from Rp686.84 billion in December 2005 , a report said .","Perusahaan industri pengolahan kayu terpadu PT Barito Pacific Timber Tbk BRPT di Jakarta , Senin , menyatakan untuk tahun yang berakhir Desember 2006 hanya membukukan laba bersih Rp7,19 miliar , atau anjlok 98,95 persen dari periode sama tahun sebelumnya Rp686,84 miliar ."
The annual financial report made available here Monday stated the net profit downturn was triggered by net selling drop following raw material shortage and unprecedented loss .,Laporan keuangan tahunan konsolidasi perseroan menunjukkan penurunan laba bersih tersebut terjadi akibat anjloknya penjualan bersih menyusul kian sulitnya memperoleh bahab baku dan kerugian luar biasa persereoan .
"In 2006 the publicly-listed BRPT only booked a net selling of Rp451.03 billion , dwindling from Rp818.03 billion in the previous year .","Pada tahun 2006 , perseroan hanta membukukan penjualan bersih Rp451,03 miliar , turun dibandingkan Rp818,03 miliar pada tahun 2005 , di sisi lain beban penjualan ."
"It faced business damage of Rp191.82 billion last year , decreasing from Rp199.78 billion in the previous year .","Biaya operasional masih tetap tinggi sehingga perseroan mengalami rugi usaha Rp191,82 miliar turun dari rugi usaha tahun 2005 sebesar Rp199,78 miliar ."
Other net income also declined to Rp208.34 billion in 2006 from Rp554.94 billion in 2005 .,"Pendapatan lain-lain bersih perseroan juga turun menjadi Rp208,34 miliar pada tahun 2006 dari Rp554,94 miliar pada tahun 2005 ."
The company experienced bizarre loss of Rp1.73 billion in 2006 while it booked extraordinary profit of Rp455.68 billion in 2005 .,"Perseroan pada tahun lalu mengalami rugi luar biasa Rp1,73 miliar dibanding tahun sebelumnya yang membukukan keuntungan luar biasa Rp455,68 miliar ."
Earnings per share EPS of the BRPT drastically fell from Rp262 in 2005 to Rp3 in 2006 .,Sementara laba bersih per saham Earnings per share-EPS perseroan periode tersebut menukik dari sebelumnya Rp262 menjadi Rp3 .
"The Jakarta Stock Exchange JSE reported as of February 28 , 2007 Barito Pacific Timber company's share was 5 percent owned by Commerzbank SEA Tst. , 21 percent by Acct. Cli , 12 percent by Whistler Petrochemical Corporation , 9 percent by PT Barito Pacific Lumber and 9 percent by PT Tunggal Setia Pratama .","Menurut data Bursa Efek Jakarta per 28 Februari 2007 komposisi pemegang saham lima persen atau lebih perseroan terdiri dari Commerzbank SEA Tst. Acct. Cli. 21 persen , Whistler Petrochemical Corporation 12 persen , PT Barito pacific Lumber 9 persen dan PT Tunggal Setia Pratama 9 persen ."
"Private mining company PT ATPK Resources is planning to have a rights issue with a ratio of 1 to 1 and value of Rp500 per share and two free attached warrants , a spokesperson said .",Perusahaan pertambangan PT ATPK Resources Tbk ATPK berencana melakukan hak memesan efek terlebih dahulu rights issue dengan rasio perbandingan 1:1 yang akan dilaksanakan dengan harga Rp500 per saham dan dua waran yang akan melekat dan diberikan secara cuma-suma .
ATPK corporate secretary Andreas Andy told the Jakarta Stock Exchange BEJ here Monday about the implementation of the warrant conversion into a share with a nominal value of Rp200 per share in three years .,"Menurut Sekretaris Perusahaan ATPK , Andreas Andy S , dalam laporannya kepada Bursa Efek Jakarta BEJ di Jakarta , Senin , pelaksanaan konversi waran menjadi saham dengan harga nominal Rp200 per saham dalam periode tiga tahun , dimana perusahaan efeknya akan ditunjuk kemudian ."
"ATPK Resources also have a plan to carry out Employees Stock Option Plan ESOP concurring with the right issue and to sell its asset of plantations in Percut area , Sei Tuan subdistrict in North Sumatra through an auction , he said .","Selain itu , perseroan berencana menjual aset-aset perkebunan yang berlokasi di daerah Percut , Kecamatan Sei Tuan , Sumatera Utara secara lelang , katanya ."
"Andreas also said his company will approve a plan which was made by its subsidiary PT Modal Investasi Mineral to acquire shares of PT Wahana Bumi Mulia , a concession holder in nickel mining right in Tojo Una-Una district in Central Sulawesi .","Perseroan berencana untuk memberikan persetujuan atas rencana PT Modal Investasi Mineral , sebagai anak perusahaan perseroan untuk mengakuisisi saham dari PT Wahana Bumi Mulia , suatu perusahaan yang memegang hak kuasa pertambangan nikel di Kabupaten Tojo Una-Una , Sulawesi Tengah , jelasnya ."
"Besides , ATPK Resources also has a scheme to approve a plan of PT Modal Investasi Mineral to sell 70 percent of total share of PT Mega Alama Sejahtera which hold a concession in a mining company in Berau area in East Kalimantan through an auction or other programs .","Selain itu , kata dia , perseroan berencana untuk memberikan persetujuan atas rencana PT Modal Investasi Mineral sebagai anak perusahaan perseroan untuk melepas kepemilikan 70 persen saham di PT Mega Alam Sejahtera , sebuah perusahaan pemegang kuasa pertambangan batubara di daerah Berau , Kalimantan Timur secara lelang atau cara-cara lain ."
"Publicly-listed cement maker PT Semen Gresik said on Monday it booked a net profit of Rp1.29 trillion in 2006 , up 29 percent from Rp1.00 trillion in the previous year .","Perusahaan industri semen PT Semen Gresik Tbk SMGR di Jakarta , Senin , menyatakan berhasil membukukan laba bersih Rp1,29 triliun akhir Desember 2006 , naik sekitar 29 persen dari periode sama tahun lalu Rp1,00 triliun ."
"The significant increase in net profit was the result of rising net sales from Rp7.53 trillion in 2005 to Rp8.73 trillion in 2006 and business profit increase from Rp1.54 trillion in 2005 to Rp1.78 trillion in 2006 , according to the company's annual consolidated financial report , a copy of which was made available here Monday .","Laporan keuangan konsolidasi tahunan perseroan memperlihatkan , pertumbuhan laba bersih yang cukup signifikan tersebut didukung oleh penjualan bersihnya yang meningkat dari Rp7,53 triliun pada 2005 menjadi Rp8,73 triliun pada tahun 2006 , dan laba usahanya meningkat dari Rp1,54 triliun menjadi Rp1,78 triliun ."
"The report also showed the company's earnings per share EPS rose to Rp2,184 in 2006 from Rp1,689 in 2005 .","Seiring dengan meningkatnya laba bersih , laba bersih per saham Earnings Per Share / EPS perseroan juga naik menjadi Rp2.184 pada tahun 2006 dari Rp1.689 pada tahun 2005 ."
The net profit growth exceeded PT Semen Gresik's estimated 20 percent hike in 2006 compared to that of 2005 .,"Pertumbuhan laba bersih tersebut melampaui perkiraan sebelumnya , dimana PT Semen Gresik Tbk memprediksi pencapaian laba bersih pada tahun 2006 bisa meningkat hingga 20 persen dibanding tahun 2005 ."
"Meanwhile , PT Semen Gresik president director Dwi Soetjipto said recently domestic demand for cement dropped by 2.4 percent in the January-August 2006 period .","Ia menambahkan , permintaan semen dalam negeri sempat mengalami penurunan hingga 2,4 persen selama periode Januari-Agustus 2006 ."
"Fortunately , the sluggish market returned to normal in September last year , he said .","Namun , sejak September kondisi pasar sudah kembali normal ."
"The influx of competitive products in the main markets for PT Semen Gresik cement notably those in East Java did not bring significant impact on the sale of Semen Gresik's products , he said .","Gencarnya produk kompetitor yang masuk ke wilayah utama pemasaran produk Semen Gresik , terutama di Jawa Timur , tampaknya tidak banyak berpengaruh terhadap penjualan produk Semen Gresik ."
"The Jakarta Stock Exchange BEJ stated that as of February 28 , 2007 Blue Valley Holdings controlled 24.9 percent of Semen Gresik's total shares while the Indonesian government 51.01 percent .","Berdasarkan data Bursa Efek Jakarta BEJ per 28 Februarai 2007 , komposisi pemegang saham lima persen atau lebih Semen Gresik terdiri dari Blue Valley Holdings Pte. Ltd. 24,9 persen dan Pemerintah RI 51,01 persen ."
"Toll road operator PT Citra Marga Nusaphala Persada CMNP stated that its net profit reached Rp121.52 billion in December 2006 , increasing by 49.99 percent from Rp81.02 billion in corresponding month of 2005 .","Perusahaan operator jalan tol PT Citra Marga Nusaphala Persada Tbk CMNP di Jakarta , Senin , menyatakan laba bersihnya untuk tahun yang berakhir Desember 2006 naik 49,99 persen menjadi Rp121,52 miliar dibanding periode sama tahun sebelumnya Rp81,02 miliar ."
